methods
Fischer_Score
Logistic_Regression
Mutual_Information_Classifier
Forward_Selection
Backward_Selection
Random_Forest
Data_Visualization_&_Interpretation_Using_Graphs
Basic_Correlation
Feature_Importance_RandomForest
UniVariate_Feature_Selection
Recursive_Feature_Selection
PCA
Chi-Squared_Test
Information_Gain
L1-Lasso_Regularization
XGBoost
Gradient_Boosting_Classifier
